date,price,returns,,intervalos,normal,,,,,,,,,,,,,,
Jan-68,35.50,,,-18.39%,0.19%,,,,,,,,,,,,,,
Feb-68,36.00,1.40%,,-16.39%,1.00%,,,,,,,,,,,,,,
Mar-68,37.00,2.74%,,-14.39%,4.46%,,media,0.67%,,,,,,,,,,,
Apr-68,37.86,2.30%,,-12.39%,16.43%,,stdev,4.64%,,,,,,,,,,,
May-68,40.70,7.23%,,-10.39%,50.31%,,,,,,,,,,,,,,
Jun-68,41.14,1.08%,,-8.39%,127.97%,,intervalos,0.02,,,,,,,,,,,
Jul-68,39.46,-4.17%,,-6.39%,270.36%,,,,,,,,,,,,,,
Aug-68,39.19,-0.69%,,-4.39%,474.44%,,,,,,,,,,,,,,
Sep-68,40.18,2.49%,,-2.39%,691.53%,,,,,,,,,,,,,,
Oct-68,39.21,-2.44%,,-0.39%,837.22%,,,,,,,,,,,,,,
Nov-68,39.78,1.44%,,1.61%,841.91%,,,,,,,,,,,,,,
Dec-68,41.08,3.22%,,3.61%,703.22%,,,,,,,,,,,,,,
Jan-69,42.30,2.93%,,5.61%,487.87%,,,,,,,,,,,,,,
Feb-69,42.60,0.71%,,7.61%,281.14%,,,,,,,,,,,,,,
Mar-69,43.16,1.31%,,9.61%,134.56%,,,,,,,,,,,,,,
Apr-69,43.31,0.35%,,11.61%,53.50%,,,,,,,,,,,,,,
May-69,43.46,0.35%,,13.61%,17.67%,,,,,,,,,,,,,,
Jun-69,41.44,-4.76%,,15.61%,4.85%,,,,,,,,,,,,,,
Jul-69,41.76,0.77%,,17.61%,1.10%,,,,,,,,,,,,,,
Aug-69,41.09,-1.62%,,19.61%,0.21%,,,,,,,,,,,,,,
Sep-69,40.87,-0.54%,,21.61%,0.03%,,,,,,,,,,,,,,
Oct-69,40.44,-1.06%,,23.61%,0.00%,,,,,,,,,,,,,,
Nov-69,37.40,-7.81%,,25.61%,0.00%,,,,,,,,,,,,,,
Dec-69,35.17,-6.15%,,27.61%,0.00%,,,,,,,,,,,,,,
Jan-70,34.94,-0.66%,,29.61%,0.00%,,,,,,,,,,,,,,
Feb-70,34.99,0.14%,,31.61%,0.00%,,,,,,,,,,,,,,
Mar-70,35.09,0.29%,,33.61%,0.00%,,,,,,,,,,,,,,
Apr-70,35.62,1.50%,,35.61%,0.00%,,,,,,,,,,,,,,
May-70,35.95,0.92%,,37.61%,0.00%,,,,,,,,,,,,,,
Jun-70,35.42,-1.49%,,39.61%,0.00%,,,,,,,,,,,,,,
Jul-70,35.32,-0.28%,,,,,,,,,,,,,,,,,
Aug-70,35.38,0.17%,,,,,,,,,,,,,,,,,
Sep-70,36.19,2.26%,,,,,,,,,,,,,,,,,
Oct-70,37.52,3.61%,,,,,,,,,,,,,,,,,
Nov-70,37.44,-0.21%,,,,,,,,,,,,,,,,,
Dec-70,37.44,0.00%,,,,,,,,,,,,,,,,,
Jan-71,37.88,1.17%,,,,,,,,,,,,,,,,,
Feb-71,38.74,2.24%,,,,,,,,,,,,,,,,,
